stage_gb,check_id,sub_category,description,stratum1,stratum_2,stratum_3,stratum_4,stratum_5,stratum_6,err_gb
CDM,C1,Conformance-value,Table name validation check with OMOP CDM defienition,34,relationship,NULL,NULL,NULL,NULL,ERROR
CDM,C1,Conformance-value,Table name validation check with OMOP CDM defienition,35,source_to_concept_map,NULL,NULL,NULL,NULL,ERROR
CDM,C1,Conformance-value,Table name validation check with OMOP CDM defienition,36,specimen,NULL,NULL,NULL,NULL,ERROR
CDM,C1,Conformance-value,Table name validation check with OMOP CDM defienition,37,visit_detail,NULL,NULL,NULL,NULL,ERROR
CDM,C1,Conformance-value,Table name validation check with OMOP CDM defienition,38,visit_occurrence,NULL,NULL,NULL,NULL,ERROR
CDM,C1,Conformance-value,Table name validation check with OMOP CDM defienition,39,vocabulary,NULL,NULL,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,19,drug_era,2,person_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,19,drug_era,3,drug_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,19,drug_era,4,drug_era_start_date,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,19,drug_era,5,drug_era_end_date,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,19,drug_era,6,drug_exposure_count,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,19,drug_era,7,gap_days,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,20,drug_exposure,1,drug_exposure_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,20,drug_exposure,2,person_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,20,drug_exposure,3,drug_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,20,drug_exposure,4,drug_exposure_start_date,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,20,drug_exposure,5,drug_exposure_start_datetime,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,20,drug_exposure,6,drug_exposure_end_date,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,20,drug_exposure,7,drug_exposure_end_datetime,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,20,drug_exposure,8,verbatim_end_date,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,20,drug_exposure,9,drug_type_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,20,drug_exposure,10,stop_reason,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,20,drug_exposure,11,refills,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,20,drug_exposure,12,quantity,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,20,drug_exposure,13,days_supply,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,20,drug_exposure,14,sig,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,20,drug_exposure,15,route_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,20,drug_exposure,16,lot_number,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,20,drug_exposure,17,provider_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,20,drug_exposure,18,visit_occurrence_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,20,drug_exposure,19,visit_detail_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,20,drug_exposure,20,drug_source_value,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,20,drug_exposure,21,drug_source_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,20,drug_exposure,22,route_source_value,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,20,drug_exposure,23,dose_unit_source_value,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,21,drug_strength,1,drug_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,21,drug_strength,2,ingredient_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,21,drug_strength,3,amount_value,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,21,drug_strength,4,amount_unit_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,21,drug_strength,5,numerator_value,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,21,drug_strength,6,numerator_unit_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,21,drug_strength,7,denominator_value,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,21,drug_strength,8,denominator_unit_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,21,drug_strength,9,box_size,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,21,drug_strength,10,valid_start_date,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,21,drug_strength,11,valid_end_date,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,21,drug_strength,12,invalid_reason,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,22,fact_relationship,1,domain_concept_id_1,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,22,fact_relationship,2,fact_id_1,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,22,fact_relationship,3,domain_concept_id_2,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,22,fact_relationship,4,fact_id_2,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,22,fact_relationship,5,relationship_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,23,location,1,location_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,23,location,2,address_1,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,23,location,3,address_2,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,23,location,4,city,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,23,location,5,state,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,23,location,6,zip,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,23,location,7,county,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,23,location,8,location_source_value,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,24,measurement,1,measurement_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,24,measurement,2,person_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,24,measurement,3,measurement_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,24,measurement,4,measurement_date,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,24,measurement,5,measurement_datetime,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,24,measurement,6,measurement_time,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,24,measurement,7,measurement_type_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,24,measurement,8,operator_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,24,measurement,9,value_as_number,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,24,measurement,10,value_as_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,24,measurement,11,unit_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,24,measurement,12,range_low,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,24,measurement,13,range_high,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,24,measurement,14,provider_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,24,measurement,15,visit_occurrence_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,24,measurement,16,visit_detail_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,24,measurement,17,measurement_source_value,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,24,measurement,18,measurement_source_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,24,measurement,19,unit_source_value,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,24,measurement,20,value_source_value,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,25,metadata,1,metadata_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,25,metadata,2,metadata_type_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,25,metadata,3,name,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,25,metadata,4,value_as_string,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,25,metadata,5,value_as_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,25,metadata,6,metadata_date,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,25,metadata,7,metadata_datetime,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,26,note,1,note_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,26,note,2,person_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,26,note,3,note_date,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,26,note,4,note_datetime,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,26,note,5,note_type_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,26,note,6,note_class_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,26,note,7,note_title,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,26,note,8,note_text,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,26,note,9,encoding_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,26,note,10,language_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,26,note,11,provider_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,26,note,12,visit_occurrence_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,26,note,13,visit_detail_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,26,note,14,note_source_value,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,27,note_nlp,1,note_nlp_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,27,note_nlp,2,note_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,27,note_nlp,3,section_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,27,note_nlp,4,snippet,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,27,note_nlp,5,offset,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,27,note_nlp,6,lexical_variant,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,27,note_nlp,7,note_nlp_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,27,note_nlp,8,note_nlp_source_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,27,note_nlp,9,nlp_system,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,27,note_nlp,10,nlp_date,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,27,note_nlp,11,nlp_datetime,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,27,note_nlp,12,term_exists,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,27,note_nlp,13,term_temporal,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,27,note_nlp,14,term_modifiers,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,28,observation,1,observation_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,28,observation,2,person_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,28,observation,3,observation_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,28,observation,4,observation_date,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,28,observation,5,observation_datetime,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,28,observation,6,observation_type_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,28,observation,7,value_as_number,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,28,observation,8,value_as_string,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,28,observation,9,value_as_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,28,observation,10,qualifier_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,28,observation,11,unit_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,28,observation,12,provider_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,28,observation,13,visit_occurrence_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,28,observation,14,visit_detail_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,28,observation,15,observation_source_value,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,28,observation,16,observation_source_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,28,observation,17,unit_source_value,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,28,observation,18,qualifier_source_value,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,29,observation_period,1,observation_period_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,29,observation_period,2,person_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,29,observation_period,3,observation_period_start_date,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,29,observation_period,4,observation_period_end_date,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,29,observation_period,5,period_type_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,30,payer_plan_period,1,payer_plan_period_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,30,payer_plan_period,2,person_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,30,payer_plan_period,3,payer_plan_period_start_date,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,30,payer_plan_period,4,payer_plan_period_end_date,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,30,payer_plan_period,5,payer_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,30,payer_plan_period,6,payer_source_value,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,30,payer_plan_period,7,payer_source_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,30,payer_plan_period,8,plan_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,30,payer_plan_period,9,plan_source_value,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,30,payer_plan_period,10,plan_source_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,30,payer_plan_period,11,sponsor_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,30,payer_plan_period,12,sponsor_source_value,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,30,payer_plan_period,13,sponsor_source_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,30,payer_plan_period,14,family_source_value,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,30,payer_plan_period,15,stop_reason_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,30,payer_plan_period,16,stop_reason_source_value,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,30,payer_plan_period,17,stop_reason_source_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,31,person,1,person_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,31,person,2,gender_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,31,person,3,year_of_birth,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,31,person,4,month_of_birth,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,31,person,5,day_of_birth,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,31,person,6,birth_datetime,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,31,person,7,race_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,31,person,8,ethnicity_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,31,person,9,location_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,31,person,10,provider_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,31,person,11,care_site_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,31,person,12,person_source_value,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,31,person,13,gender_source_value,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,31,person,14,gender_source_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,31,person,15,race_source_value,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,31,person,16,race_source_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,31,person,17,ethnicity_source_value,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,31,person,18,ethnicity_source_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,32,procedure_occurrence,1,procedure_occurrence_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,32,procedure_occurrence,2,person_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,32,procedure_occurrence,3,procedure_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,32,procedure_occurrence,4,procedure_date,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,32,procedure_occurrence,5,procedure_datetime,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,32,procedure_occurrence,6,procedure_type_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,32,procedure_occurrence,7,modifier_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,32,procedure_occurrence,8,quantity,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,32,procedure_occurrence,9,provider_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,32,procedure_occurrence,10,visit_occurrence_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,32,procedure_occurrence,11,visit_detail_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,32,procedure_occurrence,12,procedure_source_value,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,32,procedure_occurrence,13,procedure_source_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,32,procedure_occurrence,14,modifier_source_value,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,33,provider,1,provider_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,33,provider,2,provider_name,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,33,provider,3,NPI,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,33,provider,4,DEA,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,33,provider,5,specialty_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,33,provider,6,care_site_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,33,provider,7,year_of_birth,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,33,provider,8,gender_concept_id,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,33,provider,9,provider_source_value,NULL,NULL,ERROR
CDM,C2,Conformance-value,Column name validation check with OMOP CDM definition,33,provider,10,specialty_source_value,NULL,NULL,ERROR
